#,POS,PLAYER NAME,FIRST NAME,LAST NAME,SHIRT NAME,TEAM
7,FW,CRISTIANO RONALDO,Cristiano Ronaldo,DOS SANTOS AVEIRO,RONALDO,Portugal POR
8,MF,BRUNO FERNANDES,Bruno Miguel,BORGES FERNANDES,B. FERNANDES,Portugal POR
9,FW,ANDRE SILVA,André Miguel,VALENTE DA SILVA,ANDRÉ SILVA,Portugal POR
10,FW,BERNARDO SILVA,Bernardo,MOTA VEIGA DE CARVALHO E SILVA,BERNARDO,Portugal POR
11,FW,JOAO FELIX,Jo?o,FÉLIX SEQUEIRA,JO?O FÉLIX,Portugal POR
12,GK,JOSE SA,José Pedro,MALHEIRO DE SÁ,JOSÉ SÁ,Portugal POR
13,DF,DANILO PEREIRA,Danilo Luís Hélio,PEREIRA,DANILO,Portugal POR
14,MF,WILLIAM CARVALHO,William,SILVA DE CARVALHO,WILLIAM,Portugal POR
15,FW,RAFAEL LEAO,Rafael Alexandre,DA CONCEIÇ?O LE?O,R. LE?O,Portugal POR
16,MF,VITINHA,Vitor,MACHADO FERREIRA,VITINHA,Portugal POR
17,MF,JOAO MARIO,Jo?o Mário,NAVAL DA COSTA EDUARDO,J. MÁRIO,Portugal POR
18,MF,RUBEN NEVES,Rúben Diogo,SILVA NEVES,R. NEVES,Portugal POR
19,DF,NUNO MENDES,Nuno Alexandre,TAVARES MENDES,N. MENDES,Portugal POR
20,DF,JOAO CANCELO,Jo?o Pedro,CAVACO CANCELO,JO?O CANCELO,Portugal POR
21,FW,RICARDO HORTA,Ricardo Jorge,DA LUZ HORTA,R. HORTA,Portugal POR
22,GK,DIOGO COSTA,Diogo,MEIRELES DA COSTA,DIOGO COSTA,Portugal POR
23,MF,MATHEUS NUNES,Matheus Luíz,NUNES,MATHEUS N.,Portugal POR
24,DF,ANTONIO SILVA,António Jo?o,PEREIRA DE ALBUQUERQUE TAVARES,ANTÓNIO S.,Portugal POR
25,MF,OTAVIO,Otávio Edmilson,DA SILVA MONTEIRO,OTÁVIO,Portugal POR
26,FW,GONCALO RAMOS,Gonçalo,MATIAS RAMOS,G. RAMOS,Portugal POR
1,GK,SAAD ALSHEEB,Saad Abdulla M E,ALSHEEB,SAAD,Qatar QAT
2,DF,PEDRO MIGUEL,Pedro Miguel D D,CORREIA,PEDRO,Qatar QAT
3,MF,ABDELKARIM HASSAN,Abdelkarim Hassan A,FADLALLA,ABDELKARIM,Qatar QAT
4,DF,MOHAMMED WAAD,Mohammed Waad A,ALBAYATI,M. WAAD,Qatar QAT
5,DF,TAREK SALMAN,Tarek Salman S,SALMAN,TAREK,Qatar QAT
6,MF,ABDULAZIZ HATEM,Abdelaziz Hatim A,MOHAMED,A. AZIZ,Qatar QAT
7,FW,AHMED ALAAELDIN,Ahmed Alaaeldin B M,ABDELMOTAAL,ALAADIN,Qatar QAT
8,MF,ALI ASAD,Ali Asadalla Q B,THAIMN,ASAD,Qatar QAT
9,FW,MOHAMMED MUNTARI,Mohammed,MUNTARI,MUNTARI,Qatar QAT
10,MF,HASSAN ALHAYDOS,Hasan Khalid H,ALHAYDOS,ALHAYDOS,Qatar QAT
11,FW,AKRAM AFIF,Akram Hassan A Y,AFIF,AFIF,Qatar QAT
12,MF,KARIM BOUDIAF,Karim,BOUDIAF,KARIM,Qatar QAT
13,DF,MUSAAB KHIDIR,Musaab Khidir K,MOHAMED,MUSAAB,Qatar QAT
14,DF,HOMAM AHMED,Homam Elamin M,AHMED,HOMAM,Qatar QAT
15,DF,BASSAM ALRAWI,Bassam Husham A,ALRAWI,BASSAM,Qatar QAT
16,DF,BOUALEM KHOUKHI,Boualem,KHOUKHI,KHOUKHI,Qatar QAT
17,DF,ISMAIL MOHAMAD,Ismail Mohamad M,B,ISMAIL M.,Qatar QAT
18,FW,KHALID MUNEER,Khalid Muneer A A,MAZEED,K. MUNEER,Qatar QAT
19,FW,ALMOEZ ALI,Almoez Ali Zainelabdeen M,ABDULLA,ALMOEZ,Qatar QAT
20,MF,SALEM ALHAJRI,Salem Ali S S,AL-HAJRI,S. ALHAJRI,Qatar QAT
21,GK,YOUSOF HASSAN,Yousof Hassan M,ALI,YOUSOF,Qatar QAT
22,GK,MESHAAL BARSHAM,Meshaal Aissa M,BARSHAM,BARSHAM,Qatar QAT
23,MF,ASSIM MADIBO,Assim Omer A,MADIBO,MADIBO,Qatar QAT
24,MF,NAIF ALHADHRAMI,Naif Abdulraheem O,ALHADHRAMI,NAIF,Qatar QAT
25,MF,JASSEM GABER,Jassem Gaber E,ABDULSALLAM,JASSEM,Qatar QAT
26,MF,MOUSTAFA TAREK,Moustafa Tarek M M,MASHAL,MOUSTAFA,Qatar QAT
1,GK,MOHAMMED ALYAMI,Mohammed Faraj S,ALYAMI,ALYAMI,Saudi-Arabia KSA
2,DF,SULTAN ALGHANNAM,Sultan Abdullah S,ALGHANNAM,SULTAN,Saudi-Arabia KSA
3,DF,ABDULLAH MADU,Abdullah Mohammed M,MADU,MADU,Saudi-Arabia KSA
4,DF,ABDULELAH ALAMRI,Abdulelah Ali A,ALAMRI,ALAMRI,Saudi-Arabia KSA
5,DF,ALI ALBULAYHI,Ali Hadi M,AL BULAYHI,ALBULAYHI,Saudi-Arabia KSA
6,DF,MOHAMMED ALBURAYK,Mohammed Ibrahim M,ALBURAYK,ALBURAYK,Saudi-Arabia KSA
7,MF,SALMAN ALFARAJ,Salman Mohammed M,ALFARAJ,SALMAN,Saudi-Arabia KSA
8,MF,ABDULELAH ALMALKI,Abdulelah Saad H,ALMALKI,ALMALKI,Saudi-Arabia KSA
9,FW,FERAS ALBRIKAN,Feras Tariq N,ALBRIKAN,FERAS,Saudi-Arabia KSA
10,FW,SALEM ALDAWSARI,Salem Mohammed S,ALDAWSARI,SALEM,Saudi-Arabia KSA
11,FW,SALEH ALSHEHRI,Saleh Khalid M,ALSHEHRI,ALSHEHRI,Saudi-Arabia KSA
12,DF,SAUD ABDULHAMID,Saud Abdullah S,ABDULHAMID,SAUD,Saudi-Arabia KSA
13,DF,YASSER ALSHAHRANI,Yasir Gharsan S,ALSHAHRANI,YASSER,Saudi-Arabia KSA
14,MF,ABDULLAH OTAYF,Abdullah Ibrahim Y,OTAYF,OTAYF,Saudi-Arabia KSA
15,MF,ALI ALHASSAN,Ali Sadiq N,ALHASSAN,ALHASSAN,Saudi-Arabia KSA
16,MF,SAMI ALNAJI,Sami Khalil N,ALNAJI,SAMI,Saudi-Arabia KSA
17,DF,HASSAN ALTAMBAKTI,Hassan Mohammed O,ALTAMBAKTI,ALTAMBAKTI,Saudi-Arabia KSA
18,MF,NAWAF ALABID,Nawaf Shaker F,ALABID,NAWAF,Saudi-Arabia KSA
19,FW,HATAN BAHBRI,Hatan Sultan A,BAHBRI,HATAN,Saudi-Arabia KSA
20,FW,ABDULRAHMAN ALOBUD,Abdulrahman Ali H,ALOBUD,ALOBUD,Saudi-Arabia KSA
21,GK,MOHAMMED ALOWAIS,Mohammed Khalil I,ALOWAIS,ALOWAIS,Saudi-Arabia KSA
22,GK,NAWAF ALAQIDI,Nawaf Dhahi F,ALAQIDI,ALAQIDI,Saudi-Arabia KSA
23,MF,MOHAMED KANNO,Mohammed Ibrahim A,KANNO,KANNO,Saudi-Arabia KSA
24,MF,NASSER ALDAWSARI,Nasser Essa S,ALDAWSARI,NASSER,Saudi-Arabia KSA
25,FW,HAITHAM ASIRI,Haitham Mohammed A,ASIRI,HAITHAM,Saudi-Arabia KSA
26,MF,RIYADH SHARAHILI,Riyadh Mohammed M,SHARAHILI,RIYADH,Saudi-Arabia KSA
1,GK,DIENG Seny,Seny Timothy,DIENG,DIENG,Senegal SEN
2,DF,MENDY Formose,Formose,MENDY,FORMOSE,Senegal SEN
3,DF,KOULIBALY Kalidou,Kalidou,KOULIBALY,KOULIBALY,Senegal SEN
4,DF,CISSE Pape Abou,Pape Abou,CISSE,P. A. CISSE,Senegal SEN
5,MF,GUEYE Idrissa Gana,Idrissa Gana,GUEYE,GANA,Senegal SEN
6,MF,MENDY Nampalys,Nampalys,MENDY,N. MENDY,Senegal SEN
7,FW,JACKSON Nicolas,Nicolas,JACKSON,N. JACKSON,Senegal SEN
8,DF,KOUYATE Cheikhou,Cheikhou,KOUYATE,KOUYATÉ,Senegal SEN
9,FW,DIA Boulaye,Boulaye,DIA,B. DIA,Senegal SEN
10,DF,NDIAYE Moussa,Moussa,NDIAYE,M. NDIAYE,Senegal SEN
11,MF,CISS Pathe,Ismaila Pathe,CISS,P. I. CISS,Senegal SEN
12,DF,BALLO-TOURE Fode,Fode,BALLO,B. TOURE,Senegal SEN
13,FW,NDIAYE Iliman,Iliman Cheikh Baroy,NDIAYE,NDIAYE,Senegal SEN
14,DF,JAKOBS Ismail,Ismail Joshua,JAKOBS,JAKOBS,Senegal SEN
15,MF,DIATTA Krepin,Krépin,DIATTA,DIATTA,Senegal SEN
16,GK,MENDY Edouard,Edouard Osoque,MENDY,MENDY,Senegal SEN
17,MF,SARR Pape Matar,Pape Matar,SARR,P. M. SARR,Senegal SEN
18,FW,SARR Ismaila,Ismaila,SARR,ISMAILA,Senegal SEN
19,FW,DIEDHIOU Famara,Famara,DIEDHIOU,F. DIEDHIOU,Senegal SEN
20,FW,DIENG Bamba,Cheikh Ahmadou Bamba Mbacke,DIENG,BAMBA,Senegal SEN
21,DF,SABALY Youssouf,Youssouf,SABALY,SABALY,Senegal SEN
22,DF,DIALLO Abdou,Abdou Lakhad,DIALLO,DIALLO,Senegal SEN
23,GK,GOMIS Alfred,Amigo Alfred Junior,GOMIS,GOMIS,Senegal SEN
24,DF,NAME Moustapha,Moustapha,NAME,M. NAMÉ,Senegal SEN
25,MF,LOUM Mamadou,Mamadou Loum,NDIAYE,LOUM,Senegal SEN
26,MF,GUEYE Pape,Pape Alassane,GUEYE,GUEYE,Senegal SEN
1,GK,DMITROVIC Marko,Marko,DMITROVIÆ,DMITROVIÆ,Serbia SRB
2,DF,PAVLOVIC Strahinja,Strahinja,PAVLOVIÆ,PAVLOVIÆ,Serbia SRB
3,DF,ERAKOVIC Strahinja,Strahinja,ERAKOVIÆ,ERAKOVIÆ,Serbia SRB
4,DF,MILENKOVIC Nikola,Nikola,MILENKOVIÆ,MILENKOVIÆ,Serbia SRB
5,DF,VELJKOVIC Milos,Miloš,VELJKOVIÆ,VELJKOVIÆ,Serbia SRB
6,MF,MAKSIMOVIC Nemanja,Nemanja,MAKSIMOVIÆ,MAKSIMOVIÆ,Serbia SRB
7,FW,RADONJIC Nemanja,Nemanja,RADONJIÆ,RADONJIÆ,Serbia SRB
8,MF,GUDELJ Nemanja,Nemanja,GUDELJ,GUDELJ,Serbia SRB
9,FW,MITROVIC Aleksandar,Aleksandar,MITROVIÆ,A. MITROVIÆ,Serbia SRB
10,FW,TADIC Dusan,Dušan,TADIÆ,TADIÆ,Serbia SRB
11,FW,JOVIC Luka,Luka,JOVIÆ,JOVIÆ,Serbia SRB
12,GK,RAJKOVIC Predrag,Predrag,RAJKOVIÆ,RAJKOVIÆ,Serbia SRB
13,DF,MITROVIC Stefan,Stefan,MITROVIÆ,S. MITROVIÆ,Serbia SRB
14,MF,ZIVKOVIC Andrija,Andrija,ŽIVKOVIÆ,ŽIVKOVIÆ,Serbia SRB
15,DF,BABIC Srdjan,Srðan,BABIÆ,BABIÆ,Serbia SRB
16,MF,LUKIC Sasa,Saša,LUKIÆ,LUKIÆ,Serbia SRB
17,MF,KOSTIC Filip,Filip,KOSTIÆ,KOSTIÆ,Serbia SRB
18,FW,VLAHOVIC Dusan,Dušan,VLAHOVIÆ,VLAHOVIÆ,Serbia SRB
19,MF,RACIC Uros,Uroš,RAÈIÆ,RAÈIÆ,Serbia SRB
20,MF,MILINKOVIC-SAVIC Sergej,Sergej,MILINKOVIÆ-SAVIÆ,SERGEJ,Serbia SRB
21,FW,DJURICIC Filip,Filip,ÐURIÈIÆ,ÐURIÈIÆ,Serbia SRB
22,MF,LAZOVIC Darko,Darko,LAZOVIÆ,LAZOVIÆ,Serbia SRB
23,GK,MILINKOVIC-SAVIC Vanja,Vanja,MILINKOVIÆ SAVIÆ,VANJA,Serbia SRB
24,MF,ILIC Ivan,Ivan,ILIÆ,ILIÆ,Serbia SRB
25,DF,MLADENOVIC Filip,Filip,MLADENOVIÆ,MLADENOVIÆ,Serbia SRB
26,MF,GRUJIC Marko,Marko,GRUJIÆ,GRUJIÆ,Serbia SRB
1,GK,SANCHEZ Robert,Robert,LYNCH SÁNCHEZ,SÁNCHEZ,Spain ESP
2,DF,AZPILICUETA Cesar,César,AZPILICUETA TANCO,AZPILICUETA,Spain ESP
3,DF,GARCIA Eric,Eric,GARCÍA MARTRET,ERIC,Spain ESP
4,DF,TORRES Pau,Pau,FRANCISCO TORRES,PAU,Spain ESP
5,MF,BUSQUETS Sergio,Sergio,BUSQUETS BURGOS,SERGIO,Spain ESP
6,MF,LLORENTE Marcos,Marcos,LLORENTE MORENO,M. LLORENTE,Spain ESP
7,FW,MORATA Alvaro,Álvaro Borja,MORATA MARTÍN,MORATA,Spain ESP
8,MF,KOKE,Jorge,RESURRECCIÓN MERODIO,KOKE,Spain ESP
9,MF,GAVI,Pablo,PAEZ GAVIRA,GAVI,Spain ESP
10,FW,ASENSIO Marco,Marco,ASENSIO WILLEMSEN,M. ASENSIO,Spain ESP
11,FW,TORRES Ferran,Ferran,TORRES GARCÍA,FERRAN,Spain ESP
12,FW,WILLIAMS Nico,Nicholas,WILLIAMS ARTHUER,WILLIAMS JR.,Spain ESP
13,GK,RAYA David,David,RAYA MARTÍN,RAYA,Spain ESP
14,DF,BALDE Alejandro,Alejandro,BALDE MARTÍNEZ,BALDE,Spain ESP
15,DF,GUILLAMON Hugo,Hugo,GUILLAMÓN SANMARTÍN,HUGO G.,Spain ESP
16,MF,RODRI,Rodrigo,HERNÁNDEZ CASCANTE,RODRIGO,Spain ESP
17,FW,PINO Yeremy,Yeremy Jesús,PINO SANTOS,YEREMY,Spain ESP
18,DF,ALBA Jordi,Jordi,ALBA RAMOS,JORDI ALBA,Spain ESP
19,MF,SOLER Carlos,Carlos,SOLER BARRAGAN,C. SOLER,Spain ESP
20,DF,CARVAJAL Dani,Daniel,CARVAJAL RAMOS,CARVAJAL,Spain ESP
21,FW,OLMO Dani,Daniel,OLMO CARVAJAL,OLMO,Spain ESP
22,FW,SARABIA Pablo,Pablo,SARABIA GARCIA,SARABIA,Spain ESP
23,GK,SIMON Unai,Unai,SIMÓN MENDIBIL,UNAI SIMÓN,Spain ESP
24,DF,LAPORTE Aymeric,Aymeric,LAPORTE FEVRE,LAPORTE,Spain ESP
25,FW,FATI Ansu,Anssumane,FATI VIEIRA,ANSU FATI,Spain ESP
26,MF,PEDRI,Pedro,GONZÁLEZ LÓPEZ,PEDRI,Spain ESP
1,GK,SOMMER Yann,Yann,SOMMER,SOMMER,Switzerland SUI
2,DF,FERNANDES Edimilson,Edimilson,FERNANDES RIBEIRO,FERNANDES,Switzerland SUI
3,DF,WIDMER Silvan,Silvan Dominic,WIDMER,WIDMER,Switzerland SUI
4,DF,ELVEDI Nico,Nico,ELVEDI,ELVEDI,Switzerland SUI
5,DF,AKANJI Manuel,Manuel Obafemi,AKANJI,AKANJI,Switzerland SUI
6,MF,ZAKARIA Denis,Denis Lemi,ZAKARIA LAKO LADO,ZAKARIA,Switzerland SUI
7,FW,EMBOLO Breel,Breel Donald,EMBOLO,EMBOLO,Switzerland SUI
8,MF,FREULER Remo,Remo Marco,FREULER,FREULER,Switzerland SUI
9,FW,SEFEROVIC Haris,Haris,SEFEROVIC,SEFEROVIC,Switzerland SUI
10,MF,XHAKA Granit,Granit,XHAKA,XHAKA,Switzerland SUI
11,DF,STEFFEN Renato,Renato,STEFFEN,STEFFEN,Switzerland SUI
12,GK,OMLIN Jonas,Jonas,OMLIN,OMLIN,Switzerland SUI
13,DF,RODRIGUEZ Ricardo,Ricardo Ivan,RODRIGUEZ ARAYA,RODRIGUEZ,Switzerland SUI
14,MF,AEBISCHER Michel,Michel,AEBISCHER,AEBISCHER,Switzerland SUI
15,MF,SOW Djibril,Mohameth Djibril Ibrahima,SOW,SOW,Switzerland SUI
16,MF,FASSNACHT Christian,Christian Andreas,FASSNACHT,FASSNACHT,Switzerland SUI
17,FW,VARGAS Ruben,Ruben Estephan,VARGAS MARITNEZ,VARGAS,Switzerland SUI
18,DF,COEMERT Eray,Eray Ervin,CÖMERT,CÖMERT,Switzerland SUI
19,FW,OKAFOR Noah,Noah Arinzechukwu,OKAFOR,OKAFOR,Switzerland SUI
20,MF,FREI Fabian,Fabian,FREI,FREI,Switzerland SUI
21,GK,KOBEL Gregor,Gregor,KOBEL,KOBEL,Switzerland SUI
22,DF,SCHAER Fabian,Fabian Lukas,SCHÄR,SCHÄR,Switzerland SUI
23,MF,SHAQIRI Xherdan,Xherdan,SHAQIRI,SHAQIRI,Switzerland SUI
24,GK,KOEHN Philipp,Philipp Francois,KÖHN,KÖHN,Switzerland SUI
25,MF,RIEDER Fabian,Fabian,RIEDER,RIEDER,Switzerland SUI
26,MF,JASHARI Ardon,Ardon,JASHARI,JASHARI,Switzerland SUI
1,GK,MATHLOUTHI Aymen,Aymen,MATHLOUTHI,MATHLOUTHI,Tunisia TUN
2,DF,IFA Bilel,Bilel,IFA,IFA,Tunisia TUN
3,DF,TALBI Montassar,Montassar Omar,TALBI,TALBI,Tunisia TUN
4,DF,MERIAH Yassine,Yassine,MERIAH,MERIAH,Tunisia TUN
5,MF,GHANDRI Nader,Nader,GHANDRI,GHANDRI,Tunisia TUN
6,DF,BRONN Dylan,Dylan Daniel Mahmoud,BRONN,BRONN,Tunisia TUN
7,FW,MSAKNI Youssef,Youssef,MSAKNI,MSAKNI,Tunisia TUN
8,MF,MEJBRI Hannibal,Hannibal,MEJBRI,HANNIBAL,Tunisia TUN
9,FW,JEBALI Issam,Issam,JEBALI,JEBALI,Tunisia TUN
10,FW,KHAZRI Wahbi,Wahbi,KHAZRI,KHAZRI,Tunisia TUN
11,FW,KHENISSI Taha Yassine,Taha Yassine,KHENISSI,KHENISSI,Tunisia TUN
12,DF,MAALOUL Ali,Ali,MAALOUL,MAALOUL,Tunisia TUN
13,MF,SASSI Ferjani,Ferjani,SASSI,SASSI,Tunisia TUN
14,MF,LAIDOUNI Aissa,A?ssa Bilal,LA?DOUNI,LAIDOUNI,Tunisia TUN
15,MF,BEN ROMDHANE Mohamed Ali,Mohamed Ali,BEN ROMDHAN,BEN ROMDHANE,Tunisia TUN
16,GK,DAHMEN Aymen,Aymen,DAHMEN,DAHMEN,Tunisia TUN
17,MF,SKHIRI Ellyes,Ellyes Joris,SKHIRI,SKHIRI,Tunisia TUN
18,MF,CHAALELI Ghaylen,Ghaylen,CHAALELI,CHAALELI,Tunisia TUN
19,FW,JAZIRI Seifeddine,Seifeddine,JAZIRI,JAZIRI,Tunisia TUN
20,DF,DRAGER Mohamed,Mohamed,DRAGER,DRAGER,Tunisia TUN
21,DF,KECHRIDA Wajdi,Wajdi,KECHRIDA,KECHRIDA,Tunisia TUN
22,GK,BEN SAID Bechir,Bechir,SAID,BEN SAID,Tunisia TUN
23,FW,SLITI Naim,Naim,SLITI,SLITI,Tunisia TUN
24,DF,ABDI Ali,Ali,ELABDI,ABDI,Tunisia TUN
25,FW,SLIMANE Anis,Anis,BEN SLIMANE,SLIMANE,Tunisia TUN
26,GK,HASSEN Mouez,Mouez,HASSEN,HASSEN,Tunisia TUN
1,GK,MUSLERA Fernando,Nestor Fernando,MUSLERA MICOL,F. MUSLERA,Uruguay URU
2,DF,GIMENEZ Jose Maria,José María,GIMÉNEZ DE VARGAS,J. M. GIMÉNEZ,Uruguay URU
3,DF,GODIN Diego,Diego Roberto,GODIN LEAL,D. GODIN,Uruguay URU
4,DF,ARAUJO Ronald,Ronald Federico,ARAUJO DA SILVA,R. ARAUJO,Uruguay URU
5,MF,VECINO Matias,Matias,VECINO FALERO,M. VECINO,Uruguay URU
6,MF,BENTANCUR Rodrigo,Rodrigo,BENTANCUR COLMAN,R. BENTANCUR,Uruguay URU
7,MF,DE LA CRUZ Nicolas,Diego Nicolas,DE LA CRUZ ARCOSA,N. DE LA CRUZ,Uruguay URU
8,FW,PELLISTRI Facundo,Facundo,PELLISTRI REBOLLO,F. PELLISTRI,Uruguay URU
9,FW,SUAREZ Luis,Luis Alberto,SUAREZ DIAZ,L. SUAREZ,Uruguay URU
10,MF,DE ARRASCAETA Giorgian,Giorgian Daniel,DE ARRASCAETA BENEDETTI,G. DE ARRASCAETA,Uruguay URU
11,FW,NUNEZ Darwin,Darwin Gabriel,NU?EZ RIBEIRO,D. NU?EZ,Uruguay URU
12,GK,SOSA Sebastian,Carlos Sebastian,SOSA SILVA,S. SOSA,Uruguay URU
13,DF,VARELA Guillermo,Guillermo,VARELA OLIVERA,G. VARELA,Uruguay URU
14,MF,TORREIRA Lucas,Lucas Sebastian,TORREIRA DI PASCUA,L. TORREIRA,Uruguay URU
15,MF,VALVERDE Federico,Federico Santiago,VALVERDE DIPETTA,F. VALVERDE,Uruguay URU
16,DF,OLIVERA Mathias,Mathias,OLIVERA MIRAMONTES,M. OLIVERA,Uruguay URU
17,DF,VINA Matias,Matias Nicolas,VI?A SUSPERREGUY,M. VI?A,Uruguay URU
18,FW,GOMEZ Maxi,Maximiliano,GÓMEZ GONZÁLEZ,M. GÓMEZ,Uruguay URU
19,DF,COATES Sebastian,Sebastián,COATES NION,S. COATES,Uruguay URU
20,FW,TORRES Facundo,Facundo Daniel,TORRES PEREZ,F. TORRES,Uruguay URU
21,FW,CAVANI Edinson,Edinson Roberto,CAVANI GOMEZ,E. CAVANI,Uruguay URU
22,DF,CACERES Martin,José Martín,CÁCERES SILVA,M. CÁCERES,Uruguay URU
23,GK,ROCHET Sergio,Sergio Ramón,ROCHET ALVAREZ,S. ROCHET,Uruguay URU
24,MF,CANOBBIO Agustin,Agustin,CANOBBIO GRAVIZ,A. CANOBBIO,Uruguay URU
25,MF,UGARTE Manuel,Manuel,UGARTE RIBEIRO,M. UGARTE,Uruguay URU
26,DF,RODRIGUEZ Jose Luis,Jose Luis,RODRIGUEZ BEBANZ,J. L. RODRIGUEZ,Uruguay URU
1,GK,TURNER Matt,Matthew Charles,TURNER,TURNER,USA USA
2,DF,DEST Sergino,Sergino Gianni,DEST,DEST,USA USA
3,DF,ZIMMERMAN Walker,Walker Dwain,ZIMMERMAN,ZIMMERMAN,USA USA
4,MF,ADAMS Tyler,Tyler Shaan,ADAMS,ADAMS,USA USA
5,DF,ROBINSON Antonee,Antonee,ROBINSON,ROBINSON,USA USA
6,MF,MUSAH Yunus,Yunus Dimoara,MUSAH,MUSAH,USA USA
7,FW,REYNA Giovanni,Giovanni Alejandro,REYNA,REYNA,USA USA
8,MF,McKENNIE Weston,Weston James Earl,MCKENNIE,MCKENNIE,USA USA
9,FW,FERREIRA Jesus,Jesus David,FERREIRA CASTRO,FERREIRA,USA USA
10,FW,PULISIC Christian,Christian Mate,PULISIC,PULISIC,USA USA
11,FW,AARONSON Brenden,Brenden Russell,AARONSON,AARONSON,USA USA
12,GK,HORVATH Ethan,Ethan Shea,HORVATH,HORVATH,USA USA
13,DF,REAM Tim,Timothy Michael,REAM,REAM,USA USA
14,MF,DE LA TORRE Luca,Lucas Daniel,DE LA TORRE,DE LA TORRE,USA USA
15,DF,LONG Aaron,Aaron Ray,LONG,LONG,USA USA
16,FW,MORRIS Jordan,Jordan Perry,MORRIS,MORRIS,USA USA
17,MF,ROLDAN Cristian,Cristian,ROLDAN,ROLDAN,USA USA
18,DF,MOORE Shaq,Shaquell Kwame,MOORE,MOORE,USA USA
19,FW,WRIGHT Haji,Haji Amir,WRIGHT,WRIGHT,USA USA
20,DF,CARTER-VICKERS Cameron,Cameron Robert,CARTER-VICKERS,CARTER-VICKERS,USA USA
21,FW,WEAH Timothy,Timothy Tarpeh,WEAH,WEAH,USA USA
22,DF,YEDLIN DeAndre,De Andre Roselle,YEDLIN,YEDLIN,USA USA
23,MF,ACOSTA Kellyn,Kellyn Kai,PERRY-ACOSTA,ACOSTA,USA USA
24,FW,SARGENT Josh,Joshua Thomas,SARGENT,SARGENT,USA USA
25,GK,JOHNSON Sean,Sean Everet,JOHNSON,JOHNSON,USA USA
26,DF,SCALLY Joe,Joseph Michael,SCALLY,SCALLY,USA USA
1,GK,HENNESSEY Wayne,Wayne Robert,HENNESSEY,HENNESSEY,Wales WAL
2,DF,GUNTER Chris,Christopher Ross,GUNTER,GUNTER,Wales WAL
3,DF,WILLIAMS Neco,Neco Shay,WILLIAMS,N WILLIAMS,Wales WAL
4,DF,DAVIES Ben,Benjamin,THOMAS DAVIES,B DAVIES,Wales WAL
5,DF,MEPHAM Chris,Christopher James,MEPHAM,MEPHAM,Wales WAL
6,DF,RODON Joe,Joseph Peter,RODON,RODON,Wales WAL
7,MF,ALLEN Joe,Joseph Michael,ALLEN,ALLEN,Wales WAL
8,MF,WILSON Harry,Harry,WILSON,WILSON,Wales WAL
9,FW,JOHNSON Brennan,Brennan Price,JOHNSON,JOHNSON,Wales WAL
10,MF,RAMSEY Aaron,Aaron James,RAMSEY,RAMSEY,Wales WAL
11,FW,BALE Gareth,Gareth Frank,BALE,BALE,Wales WAL
12,GK,WARD Danny,Daniel,WARD,WARD,Wales WAL
13,FW,MOORE Kieffer,Kieffer Roberto Francisco,MOORE,MOORE,Wales WAL
14,DF,ROBERTS Connor,Connor Richard John,ROBERTS,ROBERTS,Wales WAL
15,DF,AMPADU Ethan,Ethan Kwame Colm Raymond,AMPADU,AMPADU,Wales WAL
16,MF,MORRELL Joe,Joseff John,MORRELL,MORRELL,Wales WAL
17,DF,LOCKYER Tom,Thomas Alun,LOCKYER,LOCKYER,Wales WAL
18,MF,WILLIAMS Jonny,Jonathan Peter,WILLIAMS,J WILLIAMS,Wales WAL
19,FW,HARRIS Mark,Thomas Mark,HARRIS,HARRIS,Wales WAL
20,FW,JAMES Daniel,Daniel Owen,JAMES,JAMES,Wales WAL
21,GK,DAVIES Adam,Adam Rhys,DAVIES,A DAVIES,Wales WAL
22,MF,THOMAS Sorba,Benjamin Sorba William,THOMAS,THOMAS,Wales WAL
23,MF,LEVITT Dylan,Dylan James Christopher,LEVITT,LEVITT,Wales WAL
24,DF,CABANGO Ben,Benjamin George,CABANGO,CABANGO,Wales WAL
25,DF,COLWILL Rubin,Rubin James,COLWILL,COLWILL,Wales WAL
26,MF,SMITH Matt,Matthew Robert,SMITH,SMITH,Wales WAL
